,id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,pt_condo,pt_apartment,pt_house,pt_rental_unit,pt_hotel,pt_hostel,rt_entire_home/ap,rt_private_room,rt_shared_room,geometry,neighbourhood
5750,842046121270992383,50.0815729,14.4303006,4,1.0,1.0,2.0,54.0,25,365,0,4.81,0,0,0,1,0,0,1,0,0,POINT (14.4303006 50.0815729),Praha 1
5751,842054476986383845,50.10140605051626,14.425098605860418,3,1.0,1.0,2.0,61.72,2,30,51,4.73,0,0,0,1,0,0,1,0,0,POINT (14.425098605860418 50.10140605051626),Praha 7
5752,842453824759581444,50.076751,14.42932996441803,2,1.0,0.0,1.0,50.0,5,90,29,4.34,0,0,0,1,0,0,1,0,0,POINT (14.42932996441803 50.076751),Praha 2
5753,842613514820598802,50.07080783638166,14.431505562565627,4,1.0,1.0,1.0,87.56,3,30,40,4.85,0,0,0,1,0,0,1,0,0,POINT (14.431505562565627 50.07080783638166),Praha 2
5754,842636497970361778,50.088113,14.4200486,2,1.0,1.0,1.0,158.04,2,365,3,5.0,0,1,0,0,0,0,1,0,0,POINT (14.4200486 50.088113),Praha 1
5755,842638067868425713,50.07057131237206,14.45054368827239,2,1.0,1.0,1.0,44.6,2,365,19,4.42,0,0,0,1,0,0,1,0,0,POINT (14.45054368827239 50.07057131237206),Praha 10
5756,842638905308838359,50.088113,14.4200486,2,1.0,1.0,1.0,158.04,2,365,5,5.0,0,1,0,0,0,0,1,0,0,POINT (14.4200486 50.088113),Praha 1
5757,842641007482737132,50.088113,14.4200486,2,1.0,1.0,1.0,158.04,2,365,2,5.0,0,1,0,0,0,0,1,0,0,POINT (14.4200486 50.088113),Praha 1
5758,842643025957081733,50.088113,14.4200486,2,1.0,1.0,1.0,158.04,2,365,2,5.0,0,1,0,0,0,0,1,0,0,POINT (14.4200486 50.088113),Praha 1
5759,842661736958572427,50.03837716577583,14.334309401385804,2,1.0,1.0,1.0,61.32,2,365,3,5.0,0,0,0,1,0,0,1,0,0,POINT (14.334309401385804 50.03837716577583),Praha 13
5760,842727945198618734,50.084622481122814,14.451447039460838,2,1.0,1.0,1.0,31.64,1,365,77,4.44,0,0,0,1,0,0,0,1,0,POINT (14.451447039460838 50.084622481122814),Praha 3
